date,open,ceilingPrice,floorPrice,close
2013-12-30,6.9,7.5,6.3,6.8
2013-12-31,6.8,7.4,6.2,6.9
2014-01-02,6.9,7.5,6.3,6.8
2014-01-03,6.8,7.4,6.2,6.8
2014-01-06,6.8,7.4,6.2,6.8
2014-01-07,6.2,7.4,6.2,6.9
2014-01-08,6.9,7.5,6.3,6.9
2014-01-09,6.9,7.5,6.3,7.0
2014-01-10,7.0,7.7,6.3,6.9
2014-01-13,6.9,7.5,6.3,7.0
2014-01-14,6.9,7.7,6.3,6.9
2014-01-15,6.9,7.5,6.3,6.9
2014-01-16,6.9,7.5,6.3,7.0
2014-01-17,7.0,7.7,6.3,7.1
2014-01-20,7.2,7.8,6.4,7.2
2014-01-21,7.2,7.9,6.5,7.2
2014-01-22,7.3,7.9,6.5,7.2
2014-01-23,7.2,7.9,6.5,7.2
2014-01-24,7.3,7.9,6.5,7.2
2014-01-27,7.2,7.9,6.5,7.2
2014-02-06,7.2,7.9,6.5,7.3
2014-02-07,7.3,8.0,6.6,7.5
2014-02-10,7.5,8.2,6.8,7.7
2014-02-11,7.7,8.4,7.0,7.6
2014-02-12,7.6,8.3,6.9,7.7
2014-02-13,7.7,8.4,7.0,7.7
2014-02-14,7.8,8.4,7.0,7.8
2014-02-17,7.8,8.5,7.1,8.0
2014-02-18,8.1,8.8,7.2,8.5
2014-02-19,8.6,9.3,7.7,9.0
2014-02-20,9.0,9.9,8.1,8.5
2014-02-21,8.5,9.3,7.7,8.6
2014-02-24,8.6,9.4,7.8,8.7
2014-02-25,8.7,9.5,7.9,8.6
2014-02-26,8.7,9.4,7.8,8.9
2014-02-27,8.9,9.7,8.1,9.0
2014-02-28,9.1,9.9,8.1,9.3
2014-03-03,9.3,10.2,8.4,9.0
2014-03-04,8.9,9.9,8.1,8.9
2014-03-05,8.9,9.7,8.1,9.0
2014-03-06,9.1,9.9,8.1,9.3
2014-03-07,9.3,10.2,8.4,9.3
2014-03-10,9.3,10.2,8.4,9.3
2014-03-11,9.3,10.2,8.4,9.3
2014-03-12,9.4,10.2,8.4,9.3
2014-03-13,9.3,10.2,8.4,9.5
2014-03-14,9.5,10.4,8.6,9.9
2014-03-17,9.9,10.8,9.0,10.1
2014-03-18,10.2,11.1,9.1,10.1
2014-03-19,10.1,11.1,9.1,11.1
2014-03-20,11.6,12.2,10.0,11.6
2014-03-21,11.6,12.7,10.5,11.6
2014-03-24,11.7,12.7,10.5,12.1
2014-03-25,12.0,13.3,10.9,11.5
2014-03-26,11.5,12.6,10.4,11.6
2014-03-27,11.7,12.7,10.5,11.3
2014-03-28,11.3,12.4,10.2,11.4
2014-03-31,11.4,12.5,10.3,11.1
2014-04-01,11.1,12.2,10.0,10.2
2014-04-02,10.2,11.2,9.2,10.6
2014-04-03,10.6,11.6,9.6,10.9
2014-04-04,11.0,11.9,9.9,10.7
2014-04-07,10.7,11.7,9.7,10.9
2014-04-08,11.0,11.9,9.9,10.9
2014-04-10,10.9,11.9,9.9,10.7
2014-04-11,10.7,11.7,9.7,11.1
2014-04-14,11.3,12.2,10.0,11.0
2014-04-15,11.1,12.1,9.9,10.8
2014-04-16,11.0,11.8,9.8,10.6
2014-04-17,10.7,11.6,9.6,10.9
2014-04-18,10.9,11.9,9.9,10.1
2014-04-21,10.5,11.1,9.1,9.5
2014-04-22,9.6,10.4,8.6,10.0
2014-04-23,10.0,11.0,9.0,9.8
2014-04-24,9.8,10.7,8.9,9.7
2014-04-25,9.7,10.6,8.8,9.7
2014-04-28,9.8,10.6,8.8,9.6
2014-04-29,9.7,10.6,8.8,9.7
2014-05-05,9.7,10.6,8.8,8.9
2014-05-06,8.9,9.7,8.1,8.8
2014-05-07,8.8,9.6,8.0,8.7
2014-05-08,8.6,9.5,7.9,8.2
2014-05-09,8.1,9.0,7.4,8.6
2014-05-12,8.6,9.4,7.8,8.0
2014-05-13,8.0,8.8,7.2,8.2
2014-05-14,8.1,9.0,7.4,8.5
2014-05-15,8.5,9.3,7.7,8.2
2014-05-16,8.2,9.0,7.4,8.5
2014-05-19,8.5,9.3,7.7,8.6
2014-05-20,8.6,9.4,7.8,8.8
2014-05-21,8.7,9.6,8.0,9.2
2014-05-22,9.2,10.1,8.3,8.9
2014-05-23,8.9,9.7,8.1,9.1
2014-05-26,9.1,10.0,8.2,9.0
2014-05-27,9.0,9.9,8.1,9.4
2014-05-28,9.5,10.3,8.5,9.3
2014-05-29,9.3,10.2,8.4,9.1
2014-05-30,9.0,10.0,8.2,9.1
2014-06-02,9.0,10.0,8.2,8.8
2014-06-03,8.7,9.6,8.0,8.9
2014-06-04,8.9,9.7,8.1,8.7
2014-06-05,8.8,9.5,7.9,8.8
2014-06-06,8.9,9.6,8.0,9.0
2014-06-09,9.0,9.9,8.1,8.9
2014-06-10,8.9,9.7,8.1,8.8
2014-06-11,8.9,9.6,8.0,9.2
2014-06-12,9.2,10.1,8.3,9.1
2014-06-13,9.2,10.0,8.2,9.2
2014-06-16,9.2,10.1,8.3,9.1
2014-06-17,9.1,10.0,8.2,9.2
2014-06-18,9.3,10.1,8.3,9.2
2014-06-19,9.1,10.1,8.3,9.1
2014-06-20,9.1,10.0,8.2,9.2
2014-06-23,8.4,10.1,8.3,9.0
2014-06-24,9.0,9.9,8.1,9.1
2014-06-25,9.2,10.0,8.2,9.2
2014-06-26,9.2,10.1,8.3,9.3
2014-06-27,8.4,10.2,8.4,9.3
2014-06-30,9.4,10.2,8.4,9.7
2014-07-01,9.8,10.6,8.8,9.7
2014-07-02,9.7,10.6,8.8,9.8
2014-07-03,9.8,10.7,8.9,9.9
2014-07-04,9.5,10.1,8.3,9.3
2014-07-07,9.3,10.2,8.4,9.2
2014-07-08,9.2,10.1,8.3,9.4
2014-07-09,9.5,10.3,8.5,9.3
2014-07-10,9.3,10.2,8.4,9.1
2014-07-11,9.1,10.0,8.2,9.2
2014-07-14,9.2,10.1,8.3,9.1
2014-07-15,8.2,10.0,8.2,9.1
2014-07-16,9.2,10.0,8.2,9.1
2014-07-17,9.2,10.0,8.2,9.1
2014-07-18,9.1,10.0,8.2,9.2
2014-07-21,9.2,10.1,8.3,9.1
2014-07-22,9.0,10.0,8.2,9.0
2014-07-23,9.1,9.9,8.1,8.9
2014-07-24,9.0,9.7,8.1,8.9
2014-07-25,9.0,9.7,8.1,8.8
2014-07-28,8.9,9.6,8.0,8.6
2014-07-29,8.7,9.4,7.8,8.6
2014-07-30,8.6,9.4,7.8,8.7
2014-07-31,8.7,9.5,7.9,8.8
2014-08-01,8.8,9.6,8.0,8.7
2014-08-04,8.7,9.5,7.9,8.7
2014-08-05,8.7,9.5,7.9,8.8
2014-08-06,8.8,9.6,8.0,8.8
2014-08-07,8.8,9.6,8.0,8.9
2014-08-08,8.9,9.7,8.1,9.0
2014-08-11,9.1,9.9,8.1,8.9
2014-08-12,8.9,9.7,8.1,8.8
2014-08-13,8.8,9.6,8.0,8.9
2014-08-14,8.9,9.7,8.1,9.0
2014-08-15,9.0,9.9,8.1,9.0
2014-08-18,9.0,9.9,8.1,9.0
2014-08-19,9.0,9.9,8.1,8.9
2014-08-20,9.0,9.7,8.1,8.9
2014-08-21,8.9,9.7,8.1,8.9
2014-08-22,9.0,9.7,8.1,8.9
2014-08-25,8.9,9.7,8.1,9.2
2014-08-26,9.8,10.1,8.3,9.3
2014-08-27,10.2,10.2,8.4,9.2
2014-08-28,9.2,10.1,8.3,9.2
2014-08-29,9.2,10.4,8.6,9.5
2014-09-03,9.5,10.4,8.6,9.7
2014-09-04,9.7,10.6,8.8,9.8
2014-09-05,9.7,10.7,8.9,9.8
2014-09-08,9.8,10.7,8.9,9.7
2014-09-09,9.8,10.6,8.8,9.4
2014-09-10,9.4,10.3,8.5,9.5
2014-09-11,9.5,10.4,8.6,9.4
2014-09-12,9.4,10.3,8.5,9.4
2014-09-15,9.4,10.3,8.5,9.2
2014-09-16,9.2,10.1,8.3,9.3
2014-09-17,9.3,10.2,8.4,9.3
2014-09-18,9.3,10.2,8.4,9.3
2014-09-19,9.3,10.2,8.4,9.1
2014-09-22,9.0,10.0,8.2,9.1
2014-09-23,9.1,10.0,8.2,9.2
2014-09-24,9.2,10.1,8.3,9.1
2014-09-25,9.1,10.0,8.2,9.2
2014-09-26,9.2,10.1,8.3,9.1
2014-09-29,9.2,10.0,8.2,9.1
2014-09-30,9.1,10.0,8.2,9.2
2014-10-01,9.2,10.1,8.3,9.2
2014-10-02,9.2,10.1,8.3,9.2
2014-10-03,9.2,10.1,8.3,9.2
2014-10-06,9.2,10.1,8.3,9.3
2014-10-07,9.3,10.2,8.4,9.3
2014-10-08,9.3,10.2,8.4,9.3
2014-10-09,9.4,10.2,8.4,9.4
2014-10-10,9.5,10.3,8.5,9.3
2014-10-13,9.3,10.2,8.4,9.1
2014-10-14,9.1,10.0,8.2,9.0
2014-10-15,9.0,9.9,8.1,8.9
2014-10-16,8.8,9.7,8.1,8.6
2014-10-17,8.6,9.4,7.8,8.7
2014-10-20,8.8,9.5,7.9,8.7
2014-10-21,8.8,9.5,7.9,8.8
2014-10-22,8.8,9.6,8.0,8.8
2014-10-23,8.8,9.6,8.0,8.6
2014-10-24,8.6,9.4,7.8,8.6
2014-10-27,8.6,9.4,7.8,8.3
2014-10-28,8.3,9.1,7.5,8.4
2014-10-29,8.4,9.2,7.6,8.5
2014-10-30,8.5,9.3,7.7,8.6
2014-10-31,8.6,9.4,7.8,8.7
2014-11-03,8.8,9.5,7.9,8.7
2014-11-04,8.7,9.5,7.9,8.7
2014-11-05,8.7,9.5,7.9,8.6
2014-11-06,8.6,9.4,7.8,8.8
2014-11-07,8.8,9.6,8.0,8.7
2014-11-10,8.7,9.5,7.9,8.6
2014-11-11,8.7,9.4,7.8,8.7
2014-11-12,8.7,9.5,7.9,8.8
2014-11-13,8.8,9.6,8.0,8.8
2014-11-14,8.8,9.6,8.0,8.8
2014-11-17,8.8,9.6,8.0,8.8
2014-11-18,8.8,9.6,8.0,8.7
2014-11-19,8.7,9.5,7.9,8.7
2014-11-20,8.7,9.5,7.9,8.7
2014-11-21,8.8,9.5,7.9,8.9
2014-11-24,8.9,9.7,8.1,8.7
2014-11-25,8.6,9.5,7.9,8.9
2014-11-26,8.9,9.7,8.1,8.8
2014-11-27,8.7,9.6,8.0,8.7
2014-11-28,8.8,9.5,7.9,8.7
2014-12-01,8.7,9.5,7.9,8.7
2014-12-02,8.8,9.5,7.9,8.6
2014-12-03,8.6,9.4,7.8,8.7
2014-12-04,8.8,9.5,7.9,9.1
2014-12-05,9.1,10.0,8.2,9.0
2014-12-08,9.0,9.9,8.1,8.9
2014-12-09,8.9,9.7,8.1,8.6
2014-12-10,8.6,9.4,7.8,8.8
2014-12-11,8.8,9.6,8.0,8.7
2014-12-12,8.6,9.5,7.9,8.8
2014-12-15,8.7,9.6,8.0,8.6
2014-12-16,8.6,9.4,7.8,8.5
2014-12-17,8.5,9.3,7.7,8.1
2014-12-18,8.1,8.9,7.3,8.2
2014-12-19,8.2,9.0,7.4,7.9
2014-12-22,7.9,8.6,7.2,8.2
2014-12-23,8.3,9.0,7.4,8.3
2014-12-24,8.2,9.1,7.5,8.4
2014-12-25,7.6,9.2,7.6,8.2
2014-12-26,8.2,9.0,7.4,8.0
2014-12-29,8.0,8.8,7.2,7.7
2014-12-30,7.9,8.4,7.0,8.0
2014-12-31,8.1,8.9,7.3,8.1
2015-01-05,8.1,8.9,7.3,8.1
2015-01-06,8.1,8.9,7.3,8.5
2015-01-07,8.5,9.3,7.7,8.6
2015-01-08,8.6,9.4,7.8,8.6
2015-01-09,8.6,9.4,7.8,9.0
2015-01-12,9.1,9.9,8.1,8.8
2015-01-13,8.8,9.6,8.0,9.0
2015-01-14,9.0,9.9,8.1,8.8
2015-01-15,8.8,9.6,8.0,8.9
2015-01-16,9.0,9.7,8.1,8.7
2015-01-19,8.8,9.5,7.9,8.7
2015-01-20,8.9,9.5,7.9,8.7
2015-01-21,8.7,9.5,7.9,8.6
2015-01-22,8.6,9.4,7.8,8.8
2015-01-23,8.8,9.6,8.0,9.0
2015-01-26,9.0,9.9,8.1,9.0
2015-01-27,9.0,9.9,8.1,8.8
2015-01-28,8.8,9.6,8.0,9.3
2015-01-29,9.3,10.2,8.4,9.3
2015-01-30,9.3,10.2,8.4,9.0
2015-02-02,9.0,9.9,8.1,8.8
2015-02-03,8.8,9.6,8.0,8.3
2015-02-04,8.3,9.1,7.5,8.5
2015-02-05,8.5,9.3,7.7,8.6
2015-02-06,8.6,9.4,7.8,8.7
2015-02-09,8.8,9.5,7.9,8.7
2015-02-10,8.7,9.5,7.9,8.8
2015-02-11,8.8,9.6,8.0,8.9
2015-02-12,8.9,9.7,8.1,8.8
2015-02-13,8.8,9.6,8.0,8.8
2015-02-24,8.9,9.6,8.0,9.1
2015-02-25,8.9,10.0,8.2,9.0
2015-02-26,9.0,9.9,8.1,9.1
2015-02-27,9.1,10.0,8.2,9.0
2015-03-02,9.0,9.9,8.1,8.9
2015-03-03,8.9,9.7,8.1,9.1
2015-03-04,9.1,10.0,8.2,9.1
2015-03-05,9.1,10.0,8.2,9.0
2015-03-06,9.0,9.9,8.1,8.9
2015-03-09,8.9,9.7,8.1,8.8
2015-03-10,8.8,9.6,8.0,9.0
2015-03-11,9.0,9.9,8.1,8.9
2015-03-12,8.9,9.7,8.1,8.9
2015-03-13,8.9,9.7,8.1,8.9
2015-03-16,8.9,9.7,8.1,8.8
2015-03-17,8.8,9.6,8.0,8.8
2015-03-18,8.7,9.6,8.0,8.7
2015-03-19,8.7,9.5,7.9,8.6
2015-03-20,7.8,9.4,7.8,8.7
2015-03-23,8.7,9.5,7.9,8.5
2015-03-24,8.5,9.3,7.7,8.4
2015-03-25,8.5,9.2,7.6,8.4
2015-03-26,8.5,9.2,7.6,8.4
2015-03-27,8.5,9.2,7.6,8.5
2015-03-30,8.5,9.3,7.7,8.5
2015-03-31,8.5,9.3,7.7,8.6
2015-04-01,8.6,9.4,7.8,8.4
2015-04-02,8.4,9.2,7.6,8.5
2015-04-03,8.5,9.3,7.7,8.4
2015-04-06,8.4,9.2,7.6,8.4
2015-04-07,8.4,9.2,7.6,8.5
2015-04-08,8.5,9.3,7.7,8.4
2015-04-09,8.4,9.2,7.6,8.5
2015-04-10,8.5,9.3,7.7,8.6
2015-04-13,8.5,9.4,7.8,8.5
2015-04-14,7.7,9.3,7.7,8.4
2015-04-15,8.4,9.2,7.6,8.5
2015-04-16,8.5,9.3,7.7,8.6
2015-04-17,8.6,9.4,7.8,8.6
2015-04-20,8.5,9.4,7.8,8.5
2015-04-21,8.5,9.3,7.7,8.5
2015-04-22,8.5,9.3,7.7,8.5
2015-04-23,8.5,9.3,7.7,8.4
2015-04-24,8.5,9.2,7.6,8.4
2015-04-27,8.4,9.2,7.6,8.4
2015-05-04,7.6,9.2,7.6,8.1
2015-05-05,8.0,8.9,7.3,8.1
2015-05-06,8.1,8.9,7.3,8.0
2015-05-07,8.0,8.8,7.2,8.1
2015-05-08,8.0,8.9,7.3,8.1
2015-05-11,8.1,8.9,7.3,7.9
2015-05-12,7.9,8.6,7.2,7.8
2015-05-13,7.8,8.5,7.1,7.8
2015-05-14,7.7,8.5,7.1,7.8
2015-05-15,7.7,8.5,7.1,7.7
2015-05-18,7.5,8.4,7.0,7.5
2015-05-19,7.5,8.2,6.8,7.6
2015-05-20,7.6,8.3,6.9,7.7
2015-05-21,7.9,8.4,7.0,7.7
2015-05-22,7.6,8.4,7.0,7.6
2015-05-25,7.7,8.3,6.9,7.6
2015-05-26,7.6,8.3,6.9,7.8
2015-05-27,7.8,8.5,7.1,7.7
2015-05-28,7.7,8.4,7.0,8.2
2015-05-29,8.2,9.0,7.4,8.0
2015-06-01,8.0,8.8,7.2,8.1
2015-06-02,8.9,8.9,7.3,8.0
2015-06-03,8.0,8.8,7.2,8.0
2015-06-04,8.0,8.8,7.2,8.0
2015-06-05,8.0,8.8,7.2,8.1
2015-06-08,8.1,8.9,7.3,8.2
2015-06-09,8.2,9.0,7.4,7.9
2015-06-10,8.0,8.6,7.2,8.0
2015-06-11,8.8,8.8,7.2,8.1
2015-06-12,8.4,8.9,7.3,8.1
2015-06-15,8.5,8.9,7.3,8.3
2015-06-16,8.3,9.1,7.5,8.3
2015-06-17,8.3,9.1,7.5,8.2
2015-06-18,8.2,9.0,7.4,8.2
2015-06-19,8.2,9.0,7.4,8.2
2015-06-22,8.1,9.0,7.4,8.3
2015-06-23,8.3,9.1,7.5,8.3
2015-06-24,8.3,9.1,7.5,8.2
2015-06-25,8.2,9.0,7.4,8.2
2015-06-26,8.2,9.0,7.4,8.1
2015-06-29,8.1,8.9,7.3,8.2
2015-06-30,8.2,9.0,7.4,8.2
2015-07-01,8.1,9.0,7.4,8.1
2015-07-02,8.0,8.9,7.3,8.4
2015-07-03,9.2,9.2,7.6,8.6
2015-07-06,9.4,9.4,7.8,8.7
2015-07-07,9.5,9.5,7.9,8.7
2015-07-08,8.7,9.5,7.9,8.9
2015-07-09,8.9,9.7,8.1,8.8
2015-07-10,8.8,9.6,8.0,8.9
2015-07-13,8.9,9.7,8.1,9.0
2015-07-14,9.1,9.9,8.1,9.5
2015-07-15,9.6,10.4,8.6,9.1
2015-07-16,9.1,10.0,8.2,9.1
